Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
-223,579.63,528.47,528.18,429.28,238.36,26.49,0
-224,563.24,514.84,516.53,421.05,234.91,27.06,0
-225,544.99,499.44,502.96,411.18,230.46,27.46,0
-226,526.26,483.48,488.62,400.55,225.49,27.72,0
-227,508.43,468.18,474.71,390.13,220.49,27.87,0
-228,492.75,454.7,462.36,380.82,215.98,27.96,0
-229,480.29,443.99,452.55,373.43,212.4,28.04,0
-230,471.84,436.77,446.02,368.56,210.1,28.15,0
-231,467.87,433.5,443.22,366.6,209.29,28.32,0
-232,468.54,434.32,444.31,367.66,210.05,28.55,0
-233,473.68,439.06,449.12,371.62,212.28,28.84,0
-234,482.83,447.28,457.2,378.08,215.78,29.14,0
-235,495.23,458.29,467.8,386.44,220.18,29.41,0
-236,509.89,471.16,479.99,395.91,225.04,29.58,0
-237,525.66,484.84,492.69,405.6,229.86,29.6,0
-238,541.33,498.22,504.8,414.64,234.14,29.42,0
-239,555.72,510.27,515.31,422.19,237.45,29,0
-240,567.81,520.08,523.36,427.62,239.46,28.35,0
-241,576.85,527.03,528.4,430.5,239.97,27.47,0
-242,582.39,530.78,530.17,430.69,238.97,26.41,0
-243,584.36,531.3,528.74,428.3,236.55,25.23,0
-244,583,528.87,524.46,423.68,232.97,23.98,0
-245,578.81,524,517.93,417.33,228.52,22.74,0
-246,572.53,517.38,509.86,409.88,223.6,21.55,0
-247,564.95,509.74,501.03,401.96,218.55,20.48,0
-248,556.9,501.83,492.19,394.21,213.74,19.55,0
-249,549.12,494.34,484.01,387.14,209.45,18.78,0
-250,542.25,487.81,477.04,381.21,205.92,18.21,0
-251,536.73,482.66,471.67,376.71,203.3,17.83,0
-252,532.86,479.12,468.12,373.82,201.69,17.65,0
-253,530.74,477.3,466.48,372.59,201.11,17.66,0
-254,530.32,477.13,466.68,372.97,201.52,17.86,0
-255,531.42,478.45,468.53,374.81,202.83,18.23,0
-256,533.73,480.98,471.77,377.88,204.91,18.76,0
